ID,Flood depth RP 30000,Flood depth RP 3000,Flood depth RP 300,Flood depth RP 30,Flood depth RP 10,area,Property_value:income
1144123,3.50679993629456,3.50679993629456,3.28410005569458,2.09050011634827,0,923.705869690205,318.854502492991
1144126,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,3952.19047409981,1364.25865497561
1144127,3.14031553268433,3.14031553268433,2.91761565208435,1.72401571273804,0,7040.45286719908,2430.29753296795
1144137,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,4500.64323132542,1553.57934328598
1144147,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,7979.15117190986,2754.32728178826
1144154,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,1485.25328444473,512.695342345865
1144155,3.15555000305176,3.15555000305176,2.93285012245178,1.73925006389618,0,10207.1147556571,3523.39917293742
1144156,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,1513.17261673881,522.332830967165
1144159,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,3868.64644907358,1335.42005016634
1144237,3.06690001487732,3.06690001487732,2.84409999847412,1.65050005912781,0,104.345774496936,36.019171368506
1144241,3.06690001487732,3.06690001487732,2.84409999847412,1.65050005912781,0,115.013892686844,39.7017045531445
1144253,3.09689998626709,3.09689998626709,2.87409996986389,1.68050003051758,0,98.2514450046611,33.9154666481502
1144270,2.8668999671936,2.8668999671936,2.6440999507904,1.45050001144409,0,804.983209256267,277.872566500743
1144283,0,0,0,0,0,8.99628351183055,3.10543171541465
1144301,3.6168999671936,3.6168999671936,3.3940999507904,2.20050001144409,0,265.024620681052,91.4839846194674
1144309,3.77679991722107,3.77679991722107,3.55410003662109,2.36050009727478,0,63.6078348727007,21.9568211142725
1144318,3.1168999671936,3.1168999671936,2.8940999507904,1.70050001144409,0,321.80484759801,111.083980244826
1144380,3.36680006980896,3.36680006980896,3.1440999507904,1.95050001144409,0,786.601264004573,271.52729339985
1144394,2.8668999671936,2.8668999671936,2.6440999507904,1.45050001144409,0,76.4978633698141,26.4063366564288
1144397,3.47187519073486,3.47187519073486,3.24910020828247,2.05550003051758,0,160.111638509499,55.2690185431062
1144410,3.12680006027222,3.12680006027222,2.90409994125366,1.71050000190735,0,454.942190083839,157.041727721082
1144440,3.00679993629456,3.00679993629456,2.78410005569458,1.59049999713898,0,1633.39367886798,563.832001008416
1144441,3.50690007209778,3.50690007209778,3.28410005569458,2.09050011634827,0,170.934664792048,59.0050245316228
1144448,3.07314991950989,3.07314991950989,2.85035014152527,1.65675008296967,0,477.205320554112,164.726749136412
1144456,0,0,0,0,0,16.2622558915247,5.61357644446372
1144486,3.15930008888245,3.15930008888245,2.93659996986389,1.74300003051758,0,2332.59721677099,805.190428550046
1144493,3.73055005073547,3.73055005073547,3.5078501701355,2.3142499923706,0,48.5365937963656,16.7543716841758
1144533,3.36680006980896,3.36680006980896,3.1440999507904,1.95050001144409,0,1019.34846715406,351.869419721678
1144545,3.02689981460571,3.02689981460571,2.80410003662109,1.61050009727478,0,75.3170127416336,25.9987182229838
1144558,0,0,0,0,0,6.26605578170266,2.16298300620111
1144592,2.86680006980896,2.86680006980896,2.6440999507904,1.45050001144409,0,12.6516702115961,4.36723652343664
1144620,3.17819690704346,3.17819690704346,2.95544385910034,1.76179695129395,0,1100.34715165753,379.82939713159
1144646,3.77679991722107,3.77679991722107,3.55410003662109,2.36050009727478,0,54.9509298346796,18.9685396281398
1144700,3.6168999671936,3.6168999671936,3.3940999507904,2.20050001144409,0,216.022898176253,74.5690549180818
1144725,3.56576871871948,3.56576871871948,3.3430061340332,2.14940619468689,0,203.495106809937,70.2445801967266
1144784,3.6168999671936,3.6168999671936,3.3940999507904,2.20050001144409,0,216.022404445787,74.5688844870092
1144828,3.09473752975464,3.09473752975464,2.87194991111755,1.67834997177124,0,14.0495155350577,4.84975946694028
1144870,0,0,0,0,0,12.377229674834,4.27250225392017
1144872,3.13689994812012,3.13689994812012,2.91409993171692,1.72049999237061,0,1041.55267403018,359.534101271347
1144895,3.77679991722107,3.77679991722107,3.55410003662109,2.36050009727478,0,145.168724951859,50.1108665549466
1144898,2.8668999671936,2.8668999671936,2.6440999507904,1.45050001144409,0,553.655027493954,191.116462650102
1144904,3.6693000793457,3.6693000793457,3.44659996032715,2.25300002098083,0,96.983710232228,33.4778566324286
